"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2.768382663","","","4.506179098","15.44282295","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.66122693","93.54245387","97.17","","","","",
"","AFE","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.00173230248880555","0.00504080836448765","0.0146294941425636","0.0317097336371475","0.086496310561846","0.112752212160974","0.213192402155205","0.386772416959473","0.569512051222246","0.77421755469409","0.961552005089705","1.1316294433033","1.43039835507724","1.71604667481381","1.8055231421271","2.05810176814815","2.7732738256208","2.69414978147317","3.20741617179148","5.29697361379769","6.80275022096875","8.53475011696143","10.1269454655226","12.2377157932034","14.5931483155349","16.3780245096756","18.0980600692527","21.653313328468","24.247500019575","26.2006567649342","",
"Afganistán","AFG","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","0.004722568","0.004561395","0.087891253","0.10580903","1.224148084","2.107123645","1.9","1.84","3.55","4","5","5.454545455","5.9","7","8.26","11","13.5","16.8","17.6","18.4","",
"","AFW","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","4.37347303003985E-06","0.000132937808781358","0.0070178877270851","0.0199454592058786","0.0356483338548163","0.0865832729233697","0.139444898636359","0.21015312440225","0.412121735356163","0.657937928967396","1.17631825716585","2.32241581377363","3.45834089338183","4.23339885847179","4.98553994993049","5.80373621795227","7.24253015229823","8.66493595574041","10.2936544981934","12.5777557951493","14.923440708625","18.179202877501","21.8292656260915","25.1763415371875","29.3052469607389","29.0234737553607","34.0931209478686","",
"Angola","AGO","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.000775929","0.005673746","0.018453724","0.071964087","0.105045562","0.136013867","0.270376746","0.370682065","0.464814618","1.143366827","1.5","1.7","1.9","2.3","2.8","4.7","7.7","13","21.4","22","23.2","26","29","32.4","36","",
"Albania","ALB","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.011168695","0.032196828","0.048593919","0.06502737","0.081437045","0.114097347","0.325798377","0.390081273","0.971900415","2.420387798","6.043890864","9.609991316","15.03611541","23.86","41.2","45","47","49.4","51.8","54.3","56.9","59.6","62.4","65.4","68.55039112","72.23767711","79.32371752",
"Andorra","AND","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1.526601023","3.050175385","6.886209218","7.635686143","10.53883561","","11.26046872","13.54641288","26.83795439","37.60576622","48.936847","70.87","70.04","78.53","81","81","82.7","84.4","86.1","87.9","89.7","91.56746703","","","","",
"El mundo árabe","ARB","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.00086463419722957","0.00287760143451145","0.0146856685731192","0.0402727667612479","0.141948279814273","0.283811604320554","0.644800202411028","1.21705641649358","1.6399570540869","2.79782204919422","3.77037813690713","7.25012731787421","8.61472994617376","11.5893486742988","14.3537690407378","18.5565409803174","21.5084930715263","25.6809726220511","27.5480357963057","30.7954873267533","33.9101316977464","37.6559500541718","41.548292282233","43.2098458803451","48.8802035645088","54.2036369354386","60.3876496585507","68.4971597475576","",
"Emiratos Árabes Unidos","ARE","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.102939175","0.375393534","3.295592694","6.908302986","14.94269899","23.62530088","26.2717542","28.31648531","29.47795341","30.13129617","40","52","61","63","64","68","78","84.9999915","88","90.4","90.5","90.60000732","94.81992254","98.45000178","99.14999998","100","100",
"Argentina","ARG","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.002992874","0.029527065","0.043705951","0.086277081","0.141954704","0.280339882","0.83076668","3.284481956","7.038683086","9.780807285","10.88212438","11.91369655","16.03668411","17.72058337","20.9272021","25.94663294","28.11262348","34","45","51","55.8","59.9","64.7","68.04306411","70.96898082","74.29490687","77.7","79.9","85.5","87.14829302",
"Armenia","ARM","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.009117014","0.052743123","0.094572902","0.111650935","0.128659478","0.970737757","1.300470022","1.631094667","1.960405046","4.575217225","4.899008571","5.252983352","5.631787777","6.021253397","6.21","15.3","25","32","37.5","41.9","54.62280586","59.10083377","64.34602977","64.74488433","68.24505226","66.54394969","76.50770055","",
"Samoa Americana","ASM","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","2.200768802","2.858449577","3.480536838","4.0717165","5.300681138","6.482225737","8.899285515","12.5","17.22864878","24.26654372","27","30","34","38","42","47","52","58","63.4","67.78","70","73","","","","","",
"Australia","AUS","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.585094712","1.097203891","1.768764913","1.974611016","2.232101254","2.759654513","3.27524987","16.36935838","30.81323944","40.7837839","46.75611561","52.68926643","","","","63","66","69.45","71.67","74.25","76","79.48769771","79","83.45349717","84","84.56051491","86.54","86.54504885","87.6","88.6","89.6","",
"Austria","AUT","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.130369377","0.259081553","0.642817619","0.76534273","1.393422968","1.890210524","6.909162353","9.533974317","15.42121932","23.0443171","33.73013295","39.18545018","36.56","42.7","54.28","58","63.6","69.37","72.87","73.45","75.17","78.7399931","80.02999392","80.6188","80.99582496","83.94014193","84.32374257","87.93558659","87.47913723","87.75220479","87.52942813","92.52915104",
