provincia,partido,localidad,suma_mb,count_suma_mb,adsl,cablemodem,dialup,fibraoptica,otros,satelital,wimax,wireless,total general,poblacion,telefoniafija,3g,4g,latitud,longitud
buenos aires,25 de mayo,25 de mayo,2202.0,13.0,873.0,4704.0,0.0,2.0,0.0,975.0,0.0,664.0,7218.0,,,,,,
buenos aires,25 de mayo,agustín mosconi,58.0,2.0,,,,,,,,,,,,,,,
buenos aires,25 de mayo,del valle,192.0,3.0,181.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,192.0,,,,,,
buenos aires,25 de mayo,ernestina,66.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,,,,,
buenos aires,25 de mayo,gobernador ugarte,181.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,181.0,,,,,,
buenos aires,25 de mayo,lucas monteverde,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,
buenos aires,25 de mayo,norberto de la riestra,1282.0,9.0,0.0,782.0,0.0,6.0,167.0,0.0,0.0,327.0,1282.0,,,,,,
buenos aires,25 de mayo,pedernales,575.0,5.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,575.0,,,,,,
buenos aires,25 de mayo,san enrique,103.0,2.0,,,,,,,,,,,,,,,
buenos aires,25 de mayo,valdés,166.0,2.0,,,,,,,,,,,,,,,
buenos aires,9 de julio,12 de octubre,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,,,,,,
buenos aires,9 de julio,9 de julio,1309.0,10.0,4360.0,3362.0,82.0,5886.0,83.0,1.0,0.0,831.0,14605.0,,,,,,
buenos aires,9 de julio,alfredo demarchi  (est. facundo quiroga),510.0,1.0,450.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,510.0,,,,,,
buenos aires,9 de julio,dudignac,378.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,463.0,464.0,,,,,,
buenos aires,9 de julio,manuel b. gonnet  (est. french),203.0,4.0,199.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,203.0,,,,,,
buenos aires,9 de julio,patricios,76.0,3.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,,,,,,
buenos aires,9 de julio,villa general fournier  (est. 9 de julio sud),130.0,6.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,42.0,130.0,,,,,,
buenos aires,adolfo alsina,carhué,1253.0,8.0,780.0,0.0,1.0,1418.0,1.0,0.0,0.0,283.0,2483.0,,,,,,
buenos aires,adolfo alsina,colonia san miguel arcángel,198.0,1.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,198.0,,,,,,
buenos aires,adolfo alsina,esteban agustín gascón,58.0,1.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,,,,,,
buenos aires,adolfo alsina,maza,406.0,4.0,0.0,0.0,0.0,390.0,0.0,2.0,0.0,14.0,406.0,,,,,,
buenos aires,adolfo alsina,rivera,47.0,2.0,0.0,0.0,0.0,1202.0,0.0,0.0,0.0,0.0,1202.0,,,,,,
buenos aires,adolfo gonzales chaves,adolfo gonzales chaves  (est. chaves),765.0,7.0,549.0,0.0,2.0,943.0,0.0,0.0,0.0,313.0,1807.0,,,,,,
buenos aires,adolfo gonzales chaves,de la garma,689.0,2.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,59.0,689.0,,,,,,
buenos aires,adolfo gonzales chaves,juan e. barra,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,,,,,,
buenos aires,adolfo gonzales chaves,vásquez,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,,,,,,
buenos aires,alberti,alberti   (est. andrés vaccarezza),482.0,8.0,457.0,0.0,6.0,1.0,0.0,0.0,0.0,8.0,472.0,,,,,,
buenos aires,alberti,mechita,285.0,2.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,,,,,,
buenos aires,almirante brown,adrogué,2176.0,20.0,214.0,9259.0,59.0,11442.0,2.0,1.0,0.0,26.0,21003.0,,,,,,
buenos aires,almirante brown,burzaco,1637.0,18.0,142.0,16127.0,35.0,11335.0,40.0,2.0,0.0,292.0,27973.0,,,,,,
buenos aires,almirante brown,claypole,1533.0,14.0,5.0,7568.0,3.0,4149.0,13.0,0.0,0.0,2.0,11740.0,,,,,,
buenos aires,almirante brown,don orione,885.0,6.0,0.0,5184.0,0.0,0.0,0.0,0.0,0.0,1.0,5185.0,,,,,,
buenos aires,almirante brown,glew,1987.0,17.0,55.0,7978.0,10.0,11652.0,12.0,0.0,0.0,54.0,19761.0,,,,,,
buenos aires,almirante brown,jose mármol,1963.0,12.0,0.0,7374.0,1.0,1410.0,2.0,0.0,0.0,1.0,8788.0,,,,,,
buenos aires,almirante brown,longchamps,2422.0,15.0,30.0,9559.0,20.0,14739.0,24.0,0.0,0.0,1.0,24373.0,,,,,,
buenos aires,almirante brown,malvinas argentinas,937.0,11.0,2.0,5311.0,3.0,54.0,2.0,0.0,0.0,1.0,5373.0,,,,,,
