año,trimestre,provincia,accesos por cada 100 hogares,banda ancha fija,dial up,total,adsl,cablemodem,fibra óptica,wireless,otros,total_fijo_xtipo_tecnologia_provincia,mbps (media de bajada),total_internet_fijo_provincias,suma_mb,count_suma_mb
2022,3,buenos aires,"78,11",4715469.0,6199,4721668.0,339648,2748325,1436433,126846,70416,4721668.0,"70,19",4721668.0,3532.0,30.0
2022,3,capital federal,"122,28",1545534.0,2145,1547679.0,140791,1240125,129218,5758,31787,1547679.0,"101,05",1547679.0,2032.0,17.0
2022,3,catamarca,"65,33",70292.0,1,70293.0,10010,10495,46224,1329,2235,70293.0,"60,99",70293.0,3118.0,10.0
2022,3,chaco,"43,86",144141.0,5,144146.0,27164,61800,44645,8178,2359,144146.0,"53,21",144146.0,3818.0,14.0
2022,3,chubut,"84,38",164874.0,904,165778.0,45377,72212,9574,29784,8831,165778.0,"15,57",165778.0,2902.0,10.0
2022,3,córdoba,"88,31",1038600.0,68,1038668.0,163770,465461,338570,61070,9797,1038668.0,"56,32",1038668.0,1230.0,21.0
2022,3,corrientes,"48,21",144842.0,4,144846.0,36508,77140,18619,7256,5323,144846.0,"45,07",144846.0,977.0,7.0
2022,3,entre ríos,"63,67",268937.0,22,268959.0,60345,132952,36971,26098,12593,268959.0,"42,49",268959.0,1226.0,8.0
2022,3,formosa,"43,76",68537.0,1,68538.0,14470,25880,11041,16935,212,68538.0,"30,35",68538.0,2172.0,12.0
2022,3,jujuy,"58,91",118823.0,- 0,118823.0,19257,52978,40172,4033,2383,118823.0,"32,43",118823.0,2131.0,10.0
2022,3,la pampa,"96,59",115921.0,171,116092.0,7796,60078,23551,20216,4451,116092.0,"18,1",116092.0,686.0,10.0
2022,3,la rioja,"80,66",86860.0,4,86864.0,6842,53899,19697,6395,31,86864.0,"44,3",86864.0,3113.0,13.0
2022,3,mendoza,"51,03",288746.0,777,289523.0,37659,78858,142615,27625,2766,289523.0,"34,16",289523.0,1934.0,12.0
2022,3,misiones,"51,82",182157.0,- 0,182157.0,35513,88902,39046,11074,7622,182157.0,"49,3",182157.0,2825.0,16.0
2022,3,neuquén,"80,37",162693.0,468,163161.0,29352,75815,29396,27482,1116,163161.0,"47,81",163161.0,3017.0,10.0
2022,3,río negro,"67,98",160010.0,548,160558.0,35552,48260,41017,16760,18969,160558.0,"34,13",160558.0,2131.0,10.0
2022,3,salta,"57,76",204536.0,5,204541.0,40006,96984,50254,10082,7215,204541.0,"41,33",204541.0,1829.0,9.0
2022,3,san juan,"50,8",103118.0,281,103399.0,38570,22723,12328,21860,7918,103399.0,"15,84",103399.0,3907.0,10.0
2022,3,san luis,"81,74",121888.0,182,122070.0,6860,29363,248,70614,14985,122070.0,"19,33",122070.0,1566.0,12.0
2022,3,santa cruz,"43,19",49312.0,198,49510.0,10170,24047,10815,3896,582,49510.0,"12,6",49510.0,3735.0,14.0
2022,3,santa fe,"78,55",887700.0,110,887810.0,183740,426255,215189,43079,19547,887810.0,"45,15",887810.0,2186.0,14.0
2022,3,santiago del estero,"47,98",119030.0,2,119032.0,15385,80937,13170,6618,2922,119032.0,"17,69",119032.0,4151.0,12.0
2022,3,tierra del fuego,"99,51",53584.0,312,53896.0,12754,39963,403,125,651,53896.0,"11,01",53896.0,2631.0,16.0
2022,3,tucumán,"61,14",263087.0,30,263117.0,77738,18518,162345,3997,519,263117.0,"53,36",263117.0,1093.0,13.0
2022,2,buenos aires,"77,58",4660984.0,6199,4667183.0,350652,2719613,1399043,126847,71028,4667183.0,"65,5",4667183.0,3521.0,30.0
2022,2,capital federal,"121,31",1534626.0,2145,1536771.0,145491,1232226,121506,5757,31791,1536771.0,"93,97",1536771.0,2039.0,17.0
2022,2,catamarca,"62,4",67007.0,1,67008.0,11928,9430,42087,1329,2234,67008.0,"56,56",67008.0,2569.0,10.0
2022,2,chaco,"43,79",143559.0,5,143564.0,29552,61284,42194,8178,2356,143564.0,"50,61",143564.0,3911.0,14.0
2022,2,chubut,"83,19",161901.0,904,162805.0,45377,69242,9574,29784,8828,162805.0,"14,91",162805.0,2472.0,10.0
2022,2,córdoba,"87,48",1026367.0,68,1026435.0,179181,467595,308895,61107,9657,1026435.0,"53,51",1026435.0,1205.0,21.0
2022,2,corrientes,"48,35",144993.0,4,144997.0,38468,75769,18181,7256,5323,144997.0,"43,31",144997.0,1038.0,7.0
2022,2,entre ríos,"63,9",269330.0,22,269352.0,63794,131029,35839,26098,12592,269352.0,"40,03",269352.0,1333.0,8.0
2022,2,formosa,"43,42",67881.0,- 0,67881.0,15397,25487,9875,16910,212,67881.0,"28,47",67881.0,2293.0,12.0
2022,2,jujuy,"57,32",115314.0,- 0,115314.0,20303,54495,34184,3955,2377,115314.0,"29,39",115314.0,2141.0,10.0
2022,2,la pampa,"92,98",111356.0,171,111527.0,7796,59273,22994,20200,1264,111527.0,"16,07",111527.0,677.0,10.0
2022,2,la rioja,"80,14",86026.0,4,86030.0,7759,52656,19189,6395,31,86030.0,"43,28",86030.0,3383.0,13.0
2022,2,mendoza,"49,39",278785.0,777,279562.0,37663,77504,135504,26964,1927,279562.0,"29,72",279562.0,1981.0,12.0
2022,2,misiones,"51,0",178813.0,- 0,178813.0,37208,89260,33649,11074,7622,178813.0,"46,23",178813.0,3009.0,16.0
2022,2,neuquén,"80,02",161500.0,468,161968.0,29749,74905,28824,27371,1119,161968.0,"46,53",161968.0,2236.0,9.0
2022,2,río negro,"67,85",159216.0,548,159764.0,36050,47040,40946,16760,18968,159764.0,"33,26",159764.0,2236.0,10.0
2022,2,salta,"57,54",203172.0,5,203177.0,42665,96178,47076,10068,7190,203177.0,"38,77",203177.0,1003.0,8.0
2022,2,san juan,"49,46",100126.0,281,100407.0,38570,19734,12328,21859,7916,100407.0,"14,44",100407.0,3591.0,10.0
2022,2,san luis,"81,76",121559.0,182,121741.0,6860,29034,248,70614,14985,121741.0,"19,32",121741.0,888.0,11.0
2022,2,santa cruz,"43,15",48987.0,198,49185.0,10170,23725,10815,3896,579,49185.0,"11,81",49185.0,3652.0,14.0
2022,2,santa fe,"77,9",878749.0,110,878859.0,198492,428233,189503,43081,19550,878859.0,"42,01",878859.0,2202.0,14.0
2022,2,santiago del estero,"47,7",118042.0,2,118044.0,16561,80338,11605,6618,2922,118044.0,"16,34",118044.0,4174.0,12.0
2022,2,tierra del fuego,"99,86",53458.0,312,53770.0,12754,39837,403,125,651,53770.0,"10,97",53770.0,2603.0,16.0
2022,2,tucumán,"59,31",254497.0,30,254527.0,85893,15327,148823,3997,487,254527.0,"50,09",254527.0,1079.0,13.0
2022,1,buenos aires,"76,08",4549131.0,6293,4555424.0,392045,2728865,1242121,125521,66872,4555424.0,"62,51",4555424.0,3010.0,30.0
2022,1,capital federal,"111,8",1415378.0,2163,1417541.0,102290,1217225,62308,5784,29934,1417541.0,"88,22",1417541.0,2062.0,17.0
2022,1,catamarca,"58,21",62377.0,1,62378.0,14181,15517,29118,1328,2234,62378.0,"51,22",62378.0,2723.0,10.0
2022,1,chaco,"44,06",144114.0,5,144119.0,32391,64546,36662,8164,2356,144119.0,"45,84",144119.0,2984.0,12.0
2022,1,chubut,"88,05",170701.0,927,171628.0,44133,66667,9184,30592,21052,171628.0,"13,4",171628.0,1810.0,9.0
